,,,heartbeat_id,heartbeat_id,heartbeat_start_sample,heartbeat_start_sample,heartbeat_end_sample,heartbeat_end_sample,q_wave_onset_sample,q_wave_onset_sample,b_point_sample,b_point_sample,rr_interval_ms,rr_interval_ms,pep_sample,pep_sample,pep_ms,pep_ms,nan_reason,nan_reason,error_per_sample_ms,absolute_error_per_sample_ms,absolute_relative_error_per_sample_percent
GDN0005,Pause,15,15,15,6954,6954,7416,7416,7100,7100,7182,7145,912.0,912.0,82,45,164.0,90.0,,,-74.0,74.0,82.22222222222221
GDN0005,Pause,16,16,16,7416,7416,7852,7852,7556,7556,7626,7609,850.0,850.0,70,53,140.0,106.0,,,-34.0,34.0,32.075471698113205
GDN0005,Pause,17,17,17,7852,7852,8262,8262,7981,7981,8048,8040,804.0,804.0,67,59,134.0,118.0,,,-16.0,16.0,13.559322033898304
GDN0005,Pause,18,18,18,8262,8262,8657,8657,8383,8383,8454,8447,782.0,782.0,71,64,142.0,128.0,,,-14.0,14.0,10.9375
GDN0005,Pause,19,19,19,8657,8657,9047,9047,8774,8774,8848,8828,778.0,778.0,74,54,148.0,108.0,,,-40.0,40.0,37.03703703703704
GDN0005,Pause,20,20,20,9047,9047,9445,9445,9163,9163,9246,9201,806.0,806.0,83,38,166.0,76.0,,,-90.0,90.0,118.42105263157893
GDN0005,Pause,21,21,21,9445,9445,9854,9854,9566,9566,9647,9643,824.0,824.0,81,77,162.0,154.0,,,-8.0,8.0,5.194805194805195
GDN0005,Pause,22,22,22,9854,9854,10259,10259,9978,9979,10061,10057,804.0,804.0,83,78,166.0,156.0,,,-10.0,10.0,6.41025641025641
GDN0005,Pause,23,23,23,10259,10259,10683,10683,10380,10380,10463,10459,872.0,872.0,83,79,166.0,158.0,,,-8.0,8.0,5.063291139240507
GDN0005,Pause,24,24,24,10683,10683,11132,11132,10816,10816,10897,10880,912.0,912.0,81,64,162.0,128.0,,,-34.0,34.0,26.5625
GDN0005,Pause,25,25,25,11132,11132,11590,11590,11272,11272,11345,11339,916.0,916.0,73,67,146.0,134.0,,,-12.0,12.0,8.955223880597014
GDN0005,Pause,26,26,26,11590,11590,12042,12042,11730,11730,11803,11797,900.0,900.0,73,67,146.0,134.0,,,-12.0,12.0,8.955223880597014
GDN0005,Pause,27,27,27,12042,12042,12515,12515,12180,12180,12259,12249,968.0,968.0,79,69,158.0,138.0,,,-20.0,20.0,14.492753623188406
GDN0005,Pause,28,28,28,12515,12515,13015,13015,12664,12665,12742,12737,1018.0,1018.0,78,72,156.0,144.0,,,-12.0,12.0,8.333333333333332
GDN0005,Pause,29,29,29,13015,13015,13517,13517,13173,13173,13249,13241,996.0,996.0,76,68,152.0,136.0,,,-16.0,16.0,11.76470588235294
GDN0005,Pause,30,30,30,13517,13517,14013,14013,13671,13671,13749,13728,990.0,990.0,78,57,156.0,114.0,,,-42.0,42.0,36.84210526315789
GDN0005,Pause,31,31,31,14013,14013,14501,14501,14166,14166,14246,14235,968.0,968.0,80,69,160.0,138.0,,,-22.0,22.0,15.942028985507244
GDN0005,Pause,32,32,32,14501,14501,14981,14981,14650,14651,14730,14725,958.0,958.0,80,74,160.0,148.0,,,-12.0,12.0,8.108108108108109
GDN0005,Pause,33,33,33,14981,14981,15460,15460,15129,15129,15207,15187,956.0,956.0,78,58,156.0,116.0,,,-40.0,40.0,34.48275862068966
GDN0005,Pause,34,34,34,15460,15460,15925,15925,15607,15607,15684,15666,916.0,916.0,77,59,154.0,118.0,,,-36.0,36.0,30.508474576271187
GDN0005,Pause,35,35,35,15925,15925,16379,16379,16065,16066,16127,16121,906.0,906.0,62,55,124.0,110.0,,,-14.0,14.0,12.727272727272727
GDN0005,Pause,36,36,36,16379,16379,16836,16836,16518,16518,16596,16577,916.0,916.0,78,59,156.0,118.0,,,-38.0,38.0,32.20338983050847
GDN0005,Pause,37,37,37,16836,16836,17310,17310,16976,16977,17056,17051,966.0,966.0,80,74,160.0,148.0,,,-12.0,12.0,8.108108108108109
GDN0005,Pause,38,38,38,17310,17310,17802,17802,17459,17459,17537,17534,994.0,994.0,78,75,156.0,150.0,,,-6.0,6.0,4.0
GDN0005,Pause,39,39,39,17802,17802,18294,18294,17956,17956,18032,18011,980.0,980.0,76,55,152.0,110.0,,,-42.0,42.0,38.18181818181819
GDN0005,Pause,40,40,40,18294,18294,18788,18788,18446,18446,18528,18522,992.0,992.0,82,76,164.0,152.0,,,-12.0,12.0,7.894736842105263
GDN0005,Pause,41,41,41,18788,18788,19282,19282,18942,18942,19023,19007,986.0,986.0,81,65,162.0,130.0,,,-32.0,32.0,24.615384615384617
GDN0005,Pause,42,42,42,19282,19282,19774,19774,19435,19435,19517,19511,980.0,980.0,82,76,164.0,152.0,,,-12.0,12.0,7.894736842105263
GDN0005,Pause,44,44,44,20256,20256,20722,20722,20403,20403,20480,20471,920.0,920.0,77,68,154.0,136.0,,,-18.0,18.0,13.23529411764706
GDN0005,Pause,45,45,45,20722,20722,21174,21174,20863,20863,20934,20929,894.0,894.0,71,66,142.0,132.0,,,-10.0,10.0,7.575757575757576
GDN0005,Pause,46,46,46,21174,21174,21621,21621,21310,21310,21388,21379,896.0,896.0,78,69,156.0,138.0,,,-18.0,18.0,13.043478260869565
GDN0005,Pause,47,47,47,21621,21621,22096,22096,21758,21759,21835,21830,980.0,980.0,77,71,154.0,142.0,,,-12.0,12.0,8.450704225352112
GDN0005,Pause,48,48,48,22096,22096,22600,22600,22248,22249,22328,22323,1022.0,1022.0,80,74,160.0,148.0,,,-12.0,12.0,8.108108108108109
GDN0005,Pause,49,49,49,22600,22600,23107,23107,22759,22759,22826,22816,1010.0,1010.0,67,57,134.0,114.0,,,-20.0,20.0,17.543859649122805
GDN0005,Pause,50,50,50,23107,23107,23606,23606,23264,23264,23343,23308,990.0,990.0,79,44,158.0,88.0,,,-70.0,70.0,79.54545454545455
GDN0005,Pause,51,51,51,23606,23606,24100,24100,23759,23760,23841,23828,988.0,988.0,82,68,164.0,136.0,,,-28.0,28.0,20.588235294117645
GDN0005,Pause,52,52,52,24100,24100,24577,24577,24253,24253,24325,24311,936.0,936.0,72,58,144.0,116.0,,,-28.0,28.0,24.137931034482758
GDN0005,Pause,53,53,53,24577,24577,25024,25024,24721,24721,24799,24793,872.0,872.0,78,72,156.0,144.0,,,-12.0,12.0,8.333333333333332
GDN0005,Pause,54,54,54,25024,25024,25455,25455,25157,25158,25231,25225,854.0,854.0,74,67,148.0,134.0,,,-14.0,14.0,10.44776119402985
GDN0005,Pause,55,55,55,25455,25455,25880,25880,25584,25584,25659,25653,848.0,848.0,75,69,150.0,138.0,,,-12.0,12.0,8.695652173913043
GDN0005,Pause,56,56,56,25880,25880,26338,26338,26008,26008,26084,26077,954.0,954.0,76,69,152.0,138.0,,,-14.0,14.0,10.144927536231885
GDN0005,Pause,57,57,57,26338,26338,26827,26827,26485,26485,26561,26550,992.0,992.0,76,65,152.0,130.0,,,-22.0,22.0,16.923076923076923
GDN0005,Pause,58,58,58,26827,26827,27289,27289,26981,26981,27060,27053,886.0,886.0,79,72,158.0,144.0,,,-14.0,14.0,9.722222222222223
GDN0005,Pause,59,59,59,27289,27289,27731,27731,27424,27424,27514,27488,884.0,884.0,90,64,180.0,128.0,,,-52.0,52.0,40.625
GDN0005,Pause,60,60,60,27731,27731,28188,28188,27866,27866,27951,27946,930.0,930.0,85,80,170.0,160.0,,,-10.0,10.0,6.25
GDN0005,Pause,61,61,61,28188,28188,28672,28672,28331,28331,28411,28395,988.0,988.0,80,64,160.0,128.0,,,-32.0,32.0,25.0
GDN0005,Pause,62,62,62,28672,28672,29172,29172,28825,28825,28909,28905,1006.0,1006.0,84,80,168.0,160.0,,,-8.0,8.0,5.0
GDN0005,Pause,63,63,63,29172,29172,29656,29656,29328,29329,29404,29389,948.0,948.0,76,60,152.0,120.0,,,-32.0,32.0,26.666666666666668
GDN0005,Valsalva,0,0,0,403,403,859,859,543,543,624,619,912.0,912.0,81,76,162.0,152.0,,,-10.0,10.0,6.578947368421052
GDN0005,Valsalva,1,1,1,859,859,1310,1310,999,999,1077,1075,896.0,896.0,78,76,156.0,152.0,,,-4.0,4.0,2.631578947368421
GDN0005,Valsalva,2,2,2,1310,1310,1770,1770,1447,1448,1522,1518,932.0,932.0,75,70,150.0,140.0,,,-10.0,10.0,7.142857142857142
GDN0005,Valsalva,3,3,3,1770,1770,2256,2256,1913,1913,1986,1981,994.0,994.0,73,68,146.0,136.0,,,-10.0,10.0,7.352941176470589
GDN0005,Valsalva,4,4,4,2256,2256,2754,2754,2410,2410,2480,2491,998.0,998.0,70,81,140.0,162.0,,,22.0,22.0,13.580246913580247
GDN0005,Valsalva,5,5,5,2754,2754,3244,3244,2909,2909,2991,2987,970.0,970.0,82,78,164.0,156.0,,,-8.0,8.0,5.128205128205128
GDN0005,Valsalva,6,6,6,3244,3244,3722,3722,3394,3394,3469,3465,948.0,948.0,75,71,150.0,142.0,,,-8.0,8.0,5.633802816901409
GDN0005,Valsalva,7,7,7,3722,3722,4174,4174,3868,3868,3946,3942,880.0,880.0,78,74,156.0,148.0,,,-8.0,8.0,5.405405405405405
GDN0005,Valsalva,8,8,8,4174,4174,4606,4606,4308,4309,4382,4377,854.0,854.0,74,68,148.0,136.0,,,-12.0,12.0,8.823529411764707
GDN0005,Valsalva,9,9,9,4606,4606,5036,5036,4735,4736,4813,4810,864.0,864.0,78,74,156.0,148.0,,,-8.0,8.0,5.405405405405405
GDN0005,Valsalva,10,10,10,5036,5036,5495,5495,5167,5168,5251,5247,948.0,948.0,84,79,168.0,158.0,,,-10.0,10.0,6.329113924050633
GDN0005,Valsalva,11,11,11,5495,5495,5980,5980,5641,5641,5724,5721,980.0,980.0,83,80,166.0,160.0,,,-6.0,6.0,3.75
GDN0005,Valsalva,12,12,12,5980,5980,6479,6479,6131,6131,6195,6215,1008.0,1008.0,64,84,128.0,168.0,,,40.0,40.0,23.809523809523807
GDN0005,Valsalva,13,13,13,6479,6479,6977,6977,6635,6635,6712,6709,992.0,992.0,77,74,154.0,148.0,,,-6.0,6.0,4.054054054054054
GDN0005,Valsalva,14,14,14,6977,6977,7456,7456,7131,7132,7205,7200,938.0,938.0,74,68,148.0,136.0,,,-12.0,12.0,8.823529411764707
GDN0005,Valsalva,15,15,15,7456,7456,7921,7921,7600,7600,7675,7671,926.0,926.0,75,71,150.0,142.0,,,-8.0,8.0,5.633802816901409
GDN0005,Valsalva,16,16,16,7921,7921,8402,8402,8063,8063,8143,8140,980.0,980.0,80,77,160.0,154.0,,,-6.0,6.0,3.896103896103896
GDN0005,Valsalva,17,17,17,8402,8402,8893,8893,8553,8553,8633,8629,984.0,984.0,80,76,160.0,152.0,,,-8.0,8.0,5.263157894736842
GDN0005,Valsalva,18,18,18,8893,8893,9378,9378,9045,9046,9125,9121,962.0,962.0,80,75,160.0,150.0,,,-10.0,10.0,6.666666666666667
GDN0005,Valsalva,19,19,19,9378,9378,9838,9838,9526,9526,9608,9606,900.0,900.0,82,80,164.0,160.0,,,-4.0,4.0,2.5
GDN0005,Valsalva,20,20,20,9838,9838,10275,10275,9976,9976,10045,10038,858.0,858.0,69,62,138.0,124.0,,,-14.0,14.0,11.29032258064516
GDN0005,Valsalva,21,21,21,10275,10275,10707,10707,10405,10406,10476,10472,868.0,868.0,71,66,142.0,132.0,,,-10.0,10.0,7.575757575757576
GDN0005,Valsalva,22,22,22,10707,10707,11163,11163,10839,10839,10915,10897,936.0,936.0,76,58,152.0,116.0,,,-36.0,36.0,31.03448275862069
GDN0005,Valsalva,23,23,23,11163,11163,11648,11648,11307,11308,11383,11376,988.0,988.0,76,68,152.0,136.0,,,-16.0,16.0,11.76470588235294
GDN0005,Valsalva,24,24,24,11648,11648,12153,12153,11801,11801,11883,11879,1022.0,1022.0,82,78,164.0,156.0,,,-8.0,8.0,5.128205128205128
GDN0005,Valsalva,25,25,25,12153,12153,12658,12658,12312,12312,12392,12386,1002.0,1002.0,80,74,160.0,148.0,,,-12.0,12.0,8.108108108108109
GDN0005,Valsalva,26,26,26,12658,12658,13146,13146,12813,12813,12888,12881,964.0,964.0,75,68,150.0,136.0,,,-14.0,14.0,10.294117647058822
GDN0005,Valsalva,27,27,27,13146,13146,13609,13609,13295,13295,13366,13353,906.0,906.0,71,58,142.0,116.0,,,-26.0,26.0,22.413793103448278
GDN0005,Valsalva,28,28,28,13609,13609,14066,14066,13748,13749,13816,13810,918.0,918.0,68,61,136.0,122.0,,,-14.0,14.0,11.475409836065573
GDN0005,Valsalva,29,29,29,14066,14066,14518,14518,14207,14207,14283,14276,894.0,894.0,76,69,152.0,138.0,,,-14.0,14.0,10.144927536231885
GDN0005,Valsalva,30,30,30,14518,14518,14942,14942,14654,14654,14740,14735,824.0,824.0,86,81,172.0,162.0,,,-10.0,10.0,6.172839506172839
GDN0005,Valsalva,31,31,31,14942,14942,15354,15354,15066,15066,15153,15149,826.0,826.0,87,83,174.0,166.0,,,-8.0,8.0,4.819277108433735
GDN0005,Valsalva,32,32,32,15354,15354,15776,15776,15479,15479,15568,15566,852.0,852.0,89,87,178.0,174.0,,,-4.0,4.0,2.2988505747126435
GDN0005,Valsalva,33,33,33,15776,15776,16204,16204,15905,15905,15982,15975,858.0,858.0,77,70,154.0,140.0,,,-14.0,14.0,10.0
GDN0005,Valsalva,34,34,34,16204,16204,16648,16648,16334,16334,16402,16394,906.0,906.0,68,60,136.0,120.0,,,-16.0,16.0,13.333333333333334
GDN0005,Valsalva,35,35,35,16648,16648,17135,17135,16787,16787,16860,16856,1008.0,1008.0,73,69,146.0,138.0,,,-8.0,8.0,5.797101449275362
GDN0005,Valsalva,36,36,36,17135,17135,17633,17633,17291,17291,17371,17368,990.0,990.0,80,77,160.0,154.0,,,-6.0,6.0,3.896103896103896
GDN0005,Valsalva,37,37,37,17633,17633,18112,18112,17786,17787,17870,17867,942.0,942.0,84,80,168.0,160.0,,,-8.0,8.0,5.0
GDN0005,Valsalva,38,38,38,18112,18112,18570,18570,18257,18257,18328,18323,900.0,900.0,71,66,142.0,132.0,,,-10.0,10.0,7.575757575757576
GDN0005,Valsalva,39,39,39,18570,18570,19022,19022,18707,18707,18785,18781,908.0,908.0,78,74,156.0,148.0,,,-8.0,8.0,5.405405405405405
GDN0005,Valsalva,40,40,40,19022,19022,19483,19483,19161,19161,19240,19224,930.0,930.0,79,63,158.0,126.0,,,-32.0,32.0,25.396825396825395
GDN0005,Valsalva,41,41,41,19483,19483,19945,19945,19626,19626,19702,19697,920.0,920.0,76,71,152.0,142.0,,,-10.0,10.0,7.042253521126761
GDN0005,Valsalva,42,42,42,19945,19945,20408,20408,20086,20086,20174,20171,930.0,930.0,88,85,176.0,170.0,,,-6.0,6.0,3.5294117647058822
GDN0005,Valsalva,43,43,43,20408,20408,20856,20856,20551,20551,20633,20629,876.0,876.0,82,78,164.0,156.0,,,-8.0,8.0,5.128205128205128
GDN0005,Valsalva,44,44,44,20856,20856,21292,21292,20989,20990,21056,21053,872.0,872.0,67,63,134.0,126.0,,,-8.0,8.0,6.349206349206349
GDN0005,Valsalva,45,45,45,21292,21292,21754,21754,21425,21426,21499,21492,952.0,952.0,74,66,148.0,132.0,,,-16.0,16.0,12.121212121212121
GDN0005,Valsalva,46,46,46,21754,21754,22254,22254,21901,21901,21973,21970,1024.0,1024.0,72,69,144.0,138.0,,,-6.0,6.0,4.3478260869565215
GDN0005,Valsalva,47,47,47,22254,22254,22768,22768,22413,22413,22487,22482,1030.0,1030.0,74,69,148.0,138.0,,,-10.0,10.0,7.246376811594203
GDN0005,Valsalva,48,48,48,22768,22768,23272,23272,22928,22927,23002,22995,996.0,996.0,74,68,148.0,136.0,,,-12.0,12.0,8.823529411764707
GDN0005,Valsalva,49,49,49,23272,23272,23750,23750,23426,23426,23492,23486,936.0,936.0,66,60,132.0,120.0,,,-12.0,12.0,10.0
GDN0005,Valsalva,50,50,50,23750,23750,24232,24232,23894,23894,23968,23965,980.0,980.0,74,71,148.0,142.0,,,-6.0,6.0,4.225352112676056
GDN0005,Valsalva,51,51,51,24232,24232,24736,24736,24384,24384,24460,24455,1022.0,1022.0,76,71,152.0,142.0,,,-10.0,10.0,7.042253521126761
GDN0005,Valsalva,52,52,52,24736,24736,25250,25250,24895,24895,24975,24970,1032.0,1032.0,80,75,160.0,150.0,,,-10.0,10.0,6.666666666666667
GDN0005,Valsalva,53,53,53,25250,25250,25751,25751,25411,25411,25492,25471,986.0,986.0,81,60,162.0,120.0,,,-42.0,42.0,35.0
GDN0005,Valsalva,54,54,54,25751,25751,26226,26226,25904,25905,25974,25971,928.0,928.0,70,66,140.0,132.0,,,-8.0,8.0,6.0606060606060606
GDN0005,Valsalva,55,55,55,26226,26226,26702,26702,26368,26368,26446,26441,966.0,966.0,78,73,156.0,146.0,,,-10.0,10.0,6.8493150684931505
GDN0005,Valsalva,56,56,56,26702,26702,27202,27202,26851,26851,26925,26916,1018.0,1018.0,74,65,148.0,130.0,,,-18.0,18.0,13.846153846153847
GDN0005,Valsalva,57,57,57,27202,27202,27708,27708,27360,27360,27426,27441,1008.0,1008.0,66,81,132.0,162.0,,,30.0,30.0,18.51851851851852
GDN0005,Valsalva,58,58,58,27708,27708,28179,28179,27864,27864,27939,27932,908.0,908.0,75,68,150.0,136.0,,,-14.0,14.0,10.294117647058822
GDN0005,Valsalva,59,59,59,28179,28179,28623,28623,28318,28318,28401,28397,876.0,876.0,83,79,166.0,158.0,,,-8.0,8.0,5.063291139240507
GDN0005,Valsalva,60,60,60,28623,28623,29064,29064,28756,28756,28837,28833,886.0,886.0,81,77,162.0,154.0,,,-8.0,8.0,5.194805194805195
GDN0005,Valsalva,61,61,61,29064,29064,29500,29500,29199,29199,29284,29282,866.0,866.0,85,83,170.0,166.0,,,-4.0,4.0,2.4096385542168677
GDN0005,Valsalva,62,62,62,29500,29500,29933,29933,29632,29633,29711,29692,,,79,59,158.0,118.0,,,-40.0,40.0,33.89830508474576
GDN0005,HoldingBreath,0,0,0,346,346,771,771,475,476,546,540,850.0,850.0,71,64,142.0,128.0,,,-14.0,14.0,10.9375
GDN0005,HoldingBreath,1,1,1,771,771,1173,1173,900,901,981,973,778.0,778.0,81,72,162.0,144.0,,,-18.0,18.0,12.5
GDN0005,HoldingBreath,3,3,3,1553,1553,1926,1926,1664,1664,1746,1741,746.0,746.0,82,77,164.0,154.0,,,-10.0,10.0,6.493506493506493
GDN0005,HoldingBreath,4,4,4,1926,1926,2306,2306,2037,2036,2124,2121,766.0,766.0,87,85,174.0,170.0,,,-4.0,4.0,2.3529411764705883
GDN0005,HoldingBreath,5,5,5,2306,2306,2697,2697,2420,2420,2502,2499,790.0,790.0,82,79,164.0,158.0,,,-6.0,6.0,3.79746835443038
GDN0005,HoldingBreath,6,6,6,2697,2697,3085,3085,2815,2815,2899,2892,768.0,768.0,84,77,168.0,154.0,,,-14.0,14.0,9.090909090909092
GDN0005,HoldingBreath,7,7,7,3085,3085,3487,3487,3199,3198,3284,3279,826.0,826.0,85,81,170.0,162.0,,,-8.0,8.0,4.938271604938271
GDN0005,HoldingBreath,9,9,9,3909,3909,4332,4332,4038,4038,4122,4117,844.0,844.0,84,79,168.0,158.0,,,-10.0,10.0,6.329113924050633
GDN0005,HoldingBreath,10,10,10,4332,4332,4741,4741,4460,4460,4525,4521,802.0,802.0,65,61,130.0,122.0,,,-8.0,8.0,6.557377049180328
GDN0005,HoldingBreath,11,11,11,4741,4741,5131,5131,4861,4862,4932,4920,770.0,770.0,71,58,142.0,116.0,,,-26.0,26.0,22.413793103448278
GDN0005,HoldingBreath,12,12,12,5131,5131,5516,5516,5246,5247,5317,5307,770.0,770.0,71,60,142.0,120.0,,,-22.0,22.0,18.333333333333332
GDN0005,HoldingBreath,13,13,13,5516,5516,5913,5913,5631,5632,5708,5703,806.0,806.0,77,71,154.0,142.0,,,-12.0,12.0,8.450704225352112
GDN0005,HoldingBreath,15,15,15,6342,6342,6814,6814,6477,6478,6554,6538,974.0,974.0,77,60,154.0,120.0,,,-34.0,34.0,28.333333333333332
GDN0005,HoldingBreath,16,16,16,6814,6814,7308,7308,6964,6964,7041,7035,996.0,996.0,77,71,154.0,142.0,,,-12.0,12.0,8.450704225352112
GDN0005,HoldingBreath,17,17,17,7308,7308,7799,7799,7462,7462,7537,7528,974.0,974.0,75,66,150.0,132.0,,,-18.0,18.0,13.636363636363635
GDN0005,HoldingBreath,18,18,18,7799,7799,8261,8261,7949,7949,8013,8004,898.0,898.0,64,55,128.0,110.0,,,-18.0,18.0,16.363636363636363
GDN0005,HoldingBreath,19,19,19,8261,8261,8692,8692,8398,8398,8478,8472,844.0,844.0,80,74,160.0,148.0,,,-12.0,12.0,8.108108108108109
GDN0005,HoldingBreath,20,20,20,8692,8692,9119,9119,8820,8820,8901,8894,858.0,858.0,81,74,162.0,148.0,,,-14.0,14.0,9.45945945945946
GDN0005,HoldingBreath,21,21,21,9119,9119,9542,9542,9249,9249,9320,9305,840.0,840.0,71,56,142.0,112.0,,,-30.0,30.0,26.785714285714285
GDN0005,HoldingBreath,22,22,22,9542,9542,9955,9955,9669,9669,9744,9739,818.0,818.0,75,70,150.0,140.0,,,-10.0,10.0,7.142857142857142
GDN0005,HoldingBreath,23,23,23,9955,9955,10372,10372,10078,10079,10148,10143,844.0,844.0,70,64,140.0,128.0,,,-12.0,12.0,9.375
GDN0005,HoldingBreath,24,24,24,10372,10372,10800,10800,10500,10499,10559,10577,862.0,862.0,59,78,118.0,156.0,,,38.0,38.0,24.358974358974358
GDN0005,HoldingBreath,25,25,25,10800,10800,11243,11243,10931,10931,11012,11009,898.0,898.0,81,78,162.0,156.0,,,-6.0,6.0,3.8461538461538463
GDN0005,HoldingBreath,26,26,26,11243,11243,11695,11695,11380,11380,11448,11439,908.0,908.0,68,59,136.0,118.0,,,-18.0,18.0,15.254237288135593
GDN0005,HoldingBreath,27,27,27,11695,11695,12141,12141,11834,11834,11910,11901,882.0,882.0,76,67,152.0,134.0,,,-18.0,18.0,13.432835820895523
GDN0005,HoldingBreath,28,28,28,12141,12141,12567,12567,12275,12276,12343,12336,838.0,838.0,68,60,136.0,120.0,,,-16.0,16.0,13.333333333333334
GDN0005,HoldingBreath,29,29,29,12567,12567,12980,12980,12694,12695,12767,12762,818.0,818.0,73,67,146.0,134.0,,,-12.0,12.0,8.955223880597014
GDN0005,HoldingBreath,30,30,30,12980,12980,13397,13397,13103,13103,13174,13164,842.0,842.0,71,61,142.0,122.0,,,-20.0,20.0,16.39344262295082
GDN0005,HoldingBreath,31,31,31,13397,13397,13815,13815,13524,13524,13596,13589,834.0,834.0,72,65,144.0,130.0,,,-14.0,14.0,10.76923076923077
GDN0005,HoldingBreath,32,32,32,13815,13815,14237,14237,13941,13941,14013,13988,848.0,848.0,72,47,144.0,94.0,,,-50.0,50.0,53.191489361702125
GDN0005,HoldingBreath,33,33,33,14237,14237,14666,14666,14365,14365,14435,14427,864.0,864.0,70,62,140.0,124.0,,,-16.0,16.0,12.903225806451612
GDN0005,HoldingBreath,34,34,34,14666,14666,15079,15079,14797,14797,14864,14854,806.0,806.0,67,57,134.0,114.0,,,-20.0,20.0,17.543859649122805
GDN0005,HoldingBreath,35,35,35,15079,15079,15472,15472,15200,15200,15267,15257,776.0,776.0,67,57,134.0,114.0,,,-20.0,20.0,17.543859649122805
GDN0005,HoldingBreath,36,36,36,15472,15472,15858,15858,15588,15589,15663,15650,768.0,768.0,75,61,150.0,122.0,,,-28.0,28.0,22.950819672131146
GDN0005,HoldingBreath,37,37,37,15858,15858,16244,16244,15972,15973,16047,16038,776.0,776.0,75,65,150.0,130.0,,,-20.0,20.0,15.384615384615385
GDN0005,HoldingBreath,38,38,38,16244,16244,16642,16642,16360,16360,16436,16426,806.0,806.0,76,66,152.0,132.0,,,-20.0,20.0,15.151515151515152
GDN0005,HoldingBreath,39,39,39,16642,16642,17063,17063,16763,16764,16838,16827,862.0,862.0,75,63,150.0,126.0,,,-24.0,24.0,19.047619047619047
GDN0005,HoldingBreath,40,40,40,17063,17063,17506,17506,17194,17194,17267,17252,900.0,900.0,73,58,146.0,116.0,,,-30.0,30.0,25.862068965517242
GDN0005,HoldingBreath,41,41,41,17506,17506,17962,17962,17644,17645,17720,17713,918.0,918.0,76,68,152.0,136.0,,,-16.0,16.0,11.76470588235294
GDN0005,HoldingBreath,42,42,42,17962,17962,18422,18422,18103,18103,18178,18174,920.0,920.0,75,71,150.0,142.0,,,-8.0,8.0,5.633802816901409
GDN0005,HoldingBreath,43,43,43,18422,18422,18887,18887,18563,18564,18637,18628,934.0,934.0,74,64,148.0,128.0,,,-20.0,20.0,15.625
GDN0005,HoldingBreath,44,44,44,18887,18887,19359,19359,19030,19031,19105,19096,950.0,950.0,75,65,150.0,130.0,,,-20.0,20.0,15.384615384615385
GDN0005,HoldingBreath,45,45,45,19359,19359,19836,19836,19505,19506,19579,19571,958.0,958.0,74,65,148.0,130.0,,,-18.0,18.0,13.846153846153847
